都道府県,年,月,日,日照時間_h
秋田県,2024,9,5,11.0
秋田県,2024,9,6,3.6
秋田県,2024,9,7,7.1
秋田県,2024,9,8,11.3
秋田県,2024,9,9,10.8
秋田県,2024,9,10,10.6
秋田県,2024,10,1,11.1
秋田県,2024,10,2,0.9
秋田県,2024,10,3,0.0
秋田県,2024,10,4,0.0
秋田県,2024,10,5,8.4
秋田県,2024,10,6,5.1
秋田県,2024,10,7,0.0
秋田県,2024,10,8,0.1
秋田県,2024,10,9,2.8
秋田県,2024,10,10,6.6
秋田県,2024,11,1,5.6
秋田県,2024,11,2,0.0
秋田県,2024,11,3,4.8
秋田県,2024,11,4,5.2
秋田県,2024,11,5,6.2
秋田県,2024,11,6,2.3
秋田県,2024,11,7,1.3
秋田県,2024,11,8,2.2
秋田県,2024,11,9,1.0
秋田県,2024,11,10,8.8
秋田県,2024,12,1,3.5
秋田県,2024,12,2,7.3
秋田県,2024,12,3,0.0
秋田県,2024,12,4,1.8
秋田県,2024,12,5,1.4
秋田県,2024,12,6,1.3
秋田県,2024,12,7,3.0
秋田県,2024,12,8,0.6
秋田県,2024,12,9,0.0
秋田県,2024,12,10,0.4
山形県,2024,1,1,1.7
山形県,2024,1,2,6.3
山形県,2024,1,3,0.1
山形県,2024,1,4,4.8
山形県,2024,1,5,7.0
山形県,2024,1,6,0.0
山形県,2024,1,7,4.0
山形県,2024,1,8,1.4
山形県,2024,1,9,4.5
山形県,2024,1,10,0.4
山形県,2024,2,1,0.2
山形県,2024,2,2,2.4
山形県,2024,2,3,0.6
山形県,2024,2,4,4.6
山形県,2024,2,5,0.0
山形県,2024,2,6,0.2
山形県,2024,2,7,2.8
山形県,2024,2,8,0.7
山形県,2024,2,9,0.3
山形県,2024,2,10,5.4
山形県,2024,3,1,1.3
山形県,2024,3,2,2.8
山形県,2024,3,3,0.1
山形県,2024,3,4,2.0
山形県,2024,3,5,0.3
山形県,2024,3,6,0.0
山形県,2024,3,7,6.1
山形県,2024,3,8,1.1
山形県,2024,3,9,1.6
山形県,2024,3,10,3.4
山形県,2024,4,1,6.9
山形県,2024,4,2,10.9
山形県,2024,4,3,1.0
山形県,2024,4,4,4.5
山形県,2024,4,5,10.4
山形県,2024,4,6,8.8
山形県,2024,4,7,11.7
山形県,2024,4,8,6.7
山形県,2024,4,9,0.0
山形県,2024,4,10,12.1
山形県,2024,5,1,0.2
山形県,2024,5,2,12.3
山形県,2024,5,3,13.0
山形県,2024,5,4,12.8
山形県,2024,5,5,11.8
山形県,2024,5,6,0.3
山形県,2024,5,7,0.1
山形県,2024,5,8,0.1
山形県,2024,5,9,3.9
山形県,2024,5,10,12.2
山形県,2024,6,1,7.2
山形県,2024,6,2,1.3
山形県,2024,6,3,4.6
山形県,2024,6,4,1.9
山形県,2024,6,5,6.9
山形県,2024,6,6,10.3
山形県,2024,6,7,6.1
山形県,2024,6,8,12.6
山形県,2024,6,9,2.6
山形県,2024,6,10,1.3
山形県,2024,7,1,1.1
山形県,2024,7,2,0.1
山形県,2024,7,3,3.0
山形県,2024,7,4,4.8
山形県,2024,7,5,5.2
山形県,2024,7,6,3.0
山形県,2024,7,7,2.7
山形県,2024,7,8,0.1
山形県,2024,7,9,0.0
山形県,2024,7,10,0.2
山形県,2024,8,1,9.0
山形県,2024,8,2,13.1
山形県,2024,8,3,8.0
山形県,2024,8,4,8.7
山形県,2024,8,5,3.9
山形県,2024,8,6,6.9
山形県,2024,8,7,0.8
山形県,2024,8,8,7.0
山形県,2024,8,9,10.1
山形県,2024,8,10,6.1
山形県,2024,9,1,6.3
山形県,2024,9,2,3.8
山形県,2024,9,3,0.6
山形県,2024,9,4,11.5
山形県,2024,9,5,11.4
山形県,2024,9,6,3.3
山形県,2024,9,7,0.4
山形県,2024,9,8,0.2
山形県,2024,9,9,2.0
山形県,2024,9,10,9.9
山形県,2024,10,1,4.4
山形県,2024,10,2,9.6
山形県,2024,10,3,0.7
山形県,2024,10,4,0.0
山形県,2024,10,5,3.5
山形県,2024,10,6,2.5
山形県,2024,10,7,0.4
山形県,2024,10,8,0.0
山形県,2024,10,9,0.5
山形県,2024,10,10,1.7
山形県,2024,11,1,4.4
山形県,2024,11,2,0.0
山形県,2024,11,3,6.1
山形県,2024,11,4,9.1
山形県,2024,11,5,2.9
山形県,2024,11,6,2.8
山形県,2024,11,7,2.1
山形県,2024,11,8,2.5
山形県,2024,11,9,5.7
山形県,2024,11,10,6.0
山形県,2024,12,1,0.9
山形県,2024,12,2,6.3
山形県,2024,12,3,3.1
山形県,2024,12,4,0.5
山形県,2024,12,5,0.2
山形県,2024,12,6,0.0
山形県,2024,12,7,1.8
山形県,2024,12,8,0.1
山形県,2024,12,9,0.9
山形県,2024,12,10,7.9
福島県,2024,1,1,5.7
福島県,2024,1,2,5.5
福島県,2024,1,3,0.1
福島県,2024,1,4,6.6
福島県,2024,1,5,8.3
福島県,2024,1,6,1.0
福島県,2024,1,7,3.9
福島県,2024,1,8,6.6
福島県,2024,1,9,6.7
福島県,2024,1,10,3.5
福島県,2024,2,1,5.4
福島県,2024,2,2,4.7
福島県,2024,2,3,4.1
福島県,2024,2,4,7.7
福島県,2024,2,5,0.0
福島県,2024,2,6,0.0
福島県,2024,2,7,7.3
福島県,2024,2,8,2.6
福島県,2024,2,9,5.9
福島県,2024,2,10,7.2
福島県,2024,3,1,5.4
福島県,2024,3,2,6.3
福島県,2024,3,3,6.9
福島県,2024,3,4,1.2
福島県,2024,3,5,0.5
福島県,2024,3,6,0.0
福島県,2024,3,7,7.2
福島県,2024,3,8,0.9
福島県,2024,3,9,10.1
福島県,2024,3,10,7.3
福島県,2024,4,1,7.6
福島県,2024,4,2,10.0
福島県,2024,4,3,0.4
福島県,2024,4,4,7.8
福島県,2024,4,5,8.8
福島県,2024,4,6,2.6
福島県,2024,4,7,8.4
福島県,2024,4,8,4.1
福島県,2024,4,9,0.1
福島県,2024,4,10,12.4
福島県,2024,5,1,0.0
福島県,2024,5,2,12.0
福島県,2024,5,3,13.0
福島県,2024,5,4,12.8
福島県,2024,5,5,12.5
福島県,2024,5,6,0.1
福島県,2024,5,7,0.2
福島県,2024,5,8,2.9
福島県,2024,5,9,6.7
福島県,2024,5,10,12.3
福島県,2024,6,1,8.6
福島県,2024,6,2,0.5
福島県,2024,6,3,3.6
福島県,2024,6,4,2.0
福島県,2024,6,5,11.4
福島県,2024,6,6,11.1
福島県,2024,6,7,2.5
福島県,2024,6,8,10.4
福島県,2024,6,9,2.6
福島県,2024,6,10,2.2
福島県,2024,7,1,0.7
福島県,2024,7,2,4.6
福島県,2024,7,3,2.2
福島県,2024,7,4,9.7
福島県,2024,7,5,6.7
福島県,2024,7,6,0.9
福島県,2024,7,7,6.9
福島県,2024,7,8,0.0
福島県,2024,7,9,0.1
福島県,2024,7,10,0.0
福島県,2024,8,1,9.1
福島県,2024,8,2,12.2
福島県,2024,8,3,4.7
福島県,2024,8,4,7.6
福島県,2024,8,5,2.5
福島県,2024,8,6,3.3
福島県,2024,8,7,1.7
福島県,2024,8,8,7.0
福島県,2024,8,9,6.6
福島県,2024,8,10,1.8
福島県,2024,9,1,5.5
福島県,2024,9,2,6.2
福島県,2024,9,3,1.5
福島県,2024,9,4,7.3
福島県,2024,9,5,9.6
福島県,2024,9,6,4.2
福島県,2024,9,7,0.6
福島県,2024,9,8,1.9
福島県,2024,9,9,1.6
福島県,2024,9,10,4.9
福島県,2024,10,1,7.6
福島県,2024,10,2,10.2
福島県,2024,10,3,0.0
福島県,2024,10,4,0.4
福島県,2024,10,5,0.0
福島県,2024,10,6,0.0
福島県,2024,10,7,0.1
福島県,2024,10,8,0.0
福島県,2024,10,9,0.0
福島県,2024,10,10,0.3
福島県,2024,11,1,5.8
福島県,2024,11,2,0.0
福島県,2024,11,3,7.2
福島県,2024,11,4,9.7
福島県,2024,11,5,5.0
福島県,2024,11,6,3.6
福島県,2024,11,7,4.3
福島県,2024,11,8,5.5
福島県,2024,11,9,8.7
福島県,2024,11,10,6.3
福島県,2024,12,1,1.5
福島県,2024,12,2,8.0
福島県,2024,12,3,2.8
福島県,2024,12,4,1.2
福島県,2024,12,5,1.9
福島県,2024,12,6,2.0
福島県,2024,12,7,4.9
福島県,2024,12,8,1.6
福島県,2024,12,9,5.2
福島県,2024,12,10,6.1
茨城県,2024,1,1,9.3
茨城県,2024,1,2,0.3
茨城県,2024,1,3,0.5
茨城県,2024,1,4,5.2
茨城県,2024,1,5,5.5
茨城県,2024,1,6,9.1
茨城県,2024,1,7,7.7
茨城県,2024,1,8,8.7
茨城県,2024,1,9,8.5
茨城県,2024,1,10,7.2
茨城県,2024,2,1,9.7
茨城県,2024,2,2,1.1
茨城県,2024,2,3,9.8
茨城県,2024,2,4,4.1
茨城県,2024,2,5,0.0
茨城県,2024,2,6,0.0
茨城県,2024,2,7,9.8
茨城県,2024,2,8,6.1
茨城県,2024,2,9,7.0
茨城県,2024,2,10,9.9
茨城県,2024,3,1,4.8
茨城県,2024,3,2,6.9
茨城県,2024,3,3,10.7
茨城県,2024,3,4,9.9
茨城県,2024,3,5,0.2
茨城県,2024,3,6,0.0
茨城県,2024,3,7,8.5
茨城県,2024,3,8,3.2
茨城県,2024,3,9,10.9
茨城県,2024,3,10,10.7
茨城県,2024,4,1,4.7
茨城県,2024,4,2,8.4
茨城県,2024,4,3,0.0
茨城県,2024,4,4,4.2
茨城県,2024,4,5,0.0
茨城県,2024,4,6,0.0
茨城県,2024,4,7,5.1
茨城県,2024,4,8,1.8
茨城県,2024,4,9,0.0
茨城県,2024,4,10,12.4
茨城県,2024,5,1,0.0
茨城県,2024,5,2,10.1
茨城県,2024,5,3,13.0
茨城県,2024,5,4,12.8
茨城県,2024,5,5,12.8
茨城県,2024,5,6,3.5
茨城県,2024,5,7,0.0
茨城県,2024,5,8,1.5
茨城県,2024,5,9,3.7
茨城県,2024,5,10,13.1
茨城県,2024,6,1,5.0
茨城県,2024,6,2,1.3
茨城県,2024,6,4,10.4
茨城県,2024,6,5,13.8
茨城県,2024,6,6,6.7
茨城県,2024,6,7,7.7
茨城県,2024,6,8,12.4
茨城県,2024,6,9,2.9
茨城県,2024,6,10,3.0
茨城県,2024,7,1,0.4
茨城県,2024,7,2,7.9
茨城県,2024,7,3,5.1
茨城県,2024,7,4,9.0
茨城県,2024,7,5,13.3
茨城県,2024,7,6,5.4
茨城県,2024,7,7,13.3
茨城県,2024,7,8,6.8
茨城県,2024,7,9,4.3
茨城県,2024,7,10,5.7
茨城県,2024,8,1,11.8
茨城県,2024,8,2,10.8
