都市,年,月,日,推定日照時間_h
ロサンゼルス,2024,10,3,48.0
ロサンゼルス,2024,10,4,47.5
ロサンゼルス,2024,10,5,52.5
ロサンゼルス,2024,10,6,57.5
ロサンゼルス,2024,10,7,58.0
ロサンゼルス,2024,10,8,50.0
ロサンゼルス,2024,10,9,42.0
ロサンゼルス,2024,10,10,44.0
ロサンゼルス,2024,11,1,38.5
ロサンゼルス,2024,11,2,39.0
ロサンゼルス,2024,11,3,34.5
ロサンゼルス,2024,11,4,32.5
ロサンゼルス,2024,11,5,34.5
ロサンゼルス,2024,11,6,34.5
ロサンゼルス,2024,11,7,33.0
ロサンゼルス,2024,11,8,33.0
ロサンゼルス,2024,11,9,33.0
ロサンゼルス,2024,11,10,33.0
ロサンゼルス,2024,12,1,27.5
ロサンゼルス,2024,12,2,29.5
ロサンゼルス,2024,12,3,34.5
ロサンゼルス,2024,12,4,43.5
ロサンゼルス,2024,12,5,48.5
ロサンゼルス,2024,12,6,43.5
ロサンゼルス,2024,12,7,33.0
ロサンゼルス,2024,12,8,35.5
ロサンゼルス,2024,12,9,34.5
ロサンゼルス,2024,12,10,32.0
