都道府県,年,月,日,日較差_hPa,最高気圧_hPa,最低気圧_hPa,平均気圧_hPa,観測時間数
北海道,2024,6,8,3.2999999999999545,1016.3,1013.0,1014.8541666666669,24
北海道,2024,6,9,4.900000000000091,1014.7,1009.8,1012.7416666666664,24
北海道,2024,6,10,5.100000000000023,1009.4,1004.3,1006.7416666666668,24
北海道,2024,7,1,17.200000000000045,1002.7,985.5,993.8125,24
北海道,2024,7,2,5.900000000000091,1008.2,1002.3,1005.0416666666664,24
北海道,2024,7,3,3.7000000000000455,1008.0,1004.3,1006.7333333333332,24
北海道,2024,7,4,3.899999999999977,1003.4,999.5,1001.6999999999998,24
北海道,2024,7,5,3.199999999999932,1004.3,1001.1,1002.7958333333332,24
北海道,2024,7,6,4.800000000000068,1003.2,998.4,1001.6416666666664,24
北海道,2024,7,7,4.0,1002.3,998.3,1000.4541666666668,24
北海道,2024,7,8,5.099999999999909,1002.8,997.7,1000.0750000000002,24
北海道,2024,7,9,2.7999999999999545,1002.5,999.7,1001.3625000000002,24
北海道,2024,7,10,3.5,1003.7,1000.2,1002.1041666666669,24
北海道,2024,8,1,2.300000000000068,1007.7,1005.4,1006.2875,24
北海道,2024,8,2,2.0,1007.0,1005.0,1005.7666666666664,24
北海道,2024,8,3,2.3999999999999773,1008.1,1005.7,1006.7083333333334,24
北海道,2024,8,4,2.1000000000000227,1010.4,1008.3,1009.5666666666666,24
北海道,2024,8,5,1.3999999999999773,1010.5,1009.1,1009.7208333333336,24
北海道,2024,8,6,1.8999999999999773,1010.5,1008.6,1009.4708333333332,24
北海道,2024,8,7,4.100000000000023,1008.6,1004.5,1006.4583333333334,24
北海道,2024,8,8,3.0,1004.6,1001.6,1003.0375,24
北海道,2024,8,9,2.699999999999932,1005.4,1002.7,1003.8583333333336,24
北海道,2024,8,10,2.200000000000045,1007.5,1005.3,1006.4083333333334,24
北海道,2024,9,1,4.899999999999977,1009.0,1004.1,1007.05,24
北海道,2024,9,2,3.3999999999999773,1009.8,1006.4,1007.7608695652174,23
北海道,2024,9,3,4.2000000000000455,1014.2,1010.0,1012.4,24
北海道,2024,9,4,3.699999999999932,1014.9,1011.2,1013.2125,24
北海道,2024,9,5,10.299999999999956,1010.4,1000.1,1005.8333333333336,24
北海道,2024,9,6,12.200000000000044,1013.5,1001.3,1009.0125,24
北海道,2024,9,7,3.0,1014.6,1011.6,1012.9291666666668,24
北海道,2024,9,8,3.0,1013.8,1010.8,1012.4749999999998,24
北海道,2024,9,9,6.399999999999977,1019.6,1013.2,1017.1458333333331,24
北海道,2024,9,10,5.800000000000068,1018.7,1012.9,1015.3125,24
北海道,2024,10,1,5.600000000000023,1011.2,1005.6,1008.8541666666666,24
北海道,2024,10,2,16.299999999999955,1019.8,1003.5,1009.0958333333336,24
北海道,2024,10,3,6.100000000000136,1026.9,1020.8,1025.0166666666664,24
北海道,2024,10,4,9.300000000000068,1023.6,1014.3,1019.2416666666668,24
北海道,2024,10,5,8.699999999999932,1023.8,1015.1,1021.4375,24
北海道,2024,10,6,5.2000000000000455,1023.6,1018.4,1021.2875,24
北海道,2024,10,7,7.5,1018.5,1011.0,1013.7208333333334,24
北海道,2024,10,8,6.5,1017.8,1011.3,1014.5083333333332,24
北海道,2024,10,9,3.0,1021.0,1018.0,1019.0916666666668,24
北海道,2024,10,10,3.199999999999932,1021.8,1018.6,1019.9916666666668,24
北海道,2024,11,1,5.699999999999932,1023.8,1018.1,1020.9458333333332,24
北海道,2024,11,2,4.600000000000023,1017.9,1013.3,1015.5916666666666,24
北海道,2024,11,3,6.199999999999932,1021.9,1015.7,1018.9416666666666,24
北海道,2024,11,4,12.399999999999975,1020.5,1008.1,1012.8458333333334,24
北海道,2024,11,5,7.299999999999954,1021.0,1013.7,1018.4833333333332,24
北海道,2024,11,6,5.800000000000068,1019.7,1013.9,1016.8875000000004,24
北海道,2024,11,7,11.600000000000025,1026.5,1014.9,1020.8875,24
北海道,2024,11,8,4.399999999999864,1028.6,1024.2,1026.2333333333331,24
北海道,2024,11,9,4.600000000000136,1028.9,1024.3,1027.3000000000002,24
北海道,2024,11,10,13.100000000000025,1028.0,1014.9,1022.6750000000002,24
北海道,2024,12,1,15.899999999999975,1016.0,1000.1,1009.2166666666668,24
北海道,2024,12,2,9.0,1018.4,1009.4,1015.1791666666668,24
北海道,2024,12,3,8.199999999999932,1016.9,1008.7,1013.4958333333334,24
北海道,2024,12,4,6.0,1015.4,1009.4,1011.8250000000002,24
北海道,2024,12,5,6.7000000000000455,1009.2,1002.5,1005.4333333333332,24
北海道,2024,12,6,5.399999999999977,1006.6,1001.2,1004.2291666666666,24
北海道,2024,12,7,3.1000000000000227,1008.4,1005.3,1006.7875,24
北海道,2024,12,8,6.5,1011.3,1004.8,1007.5041666666668,24
北海道,2024,12,9,2.200000000000045,1012.7,1010.5,1011.6,24
北海道,2024,12,10,3.899999999999977,1014.6,1010.7,1012.9541666666668,24
青森県,2024,1,1,14.000000000000114,1025.4,1011.4,1021.6666666666669,24
青森県,2024,1,2,10.400000000000093,1023.7,1013.3,1017.5750000000002,24
青森県,2024,1,3,3.0,1016.7,1013.7,1015.1166666666668,24
青森県,2024,1,4,7.099999999999909,1019.8,1012.7,1016.325,24
青森県,2024,1,5,8.900000000000091,1019.7,1010.8,1014.3916666666664,24
青森県,2024,1,6,2.6000000000000227,1013.1,1010.5,1011.8916666666668,24
青森県,2024,1,7,2.3999999999999773,1010.6,1008.2,1009.783333333333,24
青森県,2024,1,8,10.100000000000025,1019.9,1009.8,1015.7458333333332,24
青森県,2024,1,9,9.099999999999907,1018.8,1009.7,1013.3041666666668,24
青森県,2024,1,10,7.699999999999932,1018.9,1011.2,1014.8333333333336,24
青森県,2024,2,1,10.200000000000044,1022.7,1012.5,1018.0458333333336,24
青森県,2024,2,2,3.3999999999999773,1024.8,1021.4,1022.7625000000002,24
青森県,2024,2,3,4.500000000000114,1028.4,1023.9,1026.5583333333334,24
青森県,2024,2,4,3.0,1025.3,1022.3,1023.5,24
青森県,2024,2,5,5.2000000000000455,1026.5,1021.3,1023.7791666666666,24
青森県,2024,2,6,3.5,1022.5,1019.0,1020.7541666666668,24
青森県,2024,2,7,4.300000000000068,1018.2,1013.9,1015.7833333333332,24
青森県,2024,2,8,4.199999999999932,1018.3,1014.1,1015.5541666666668,24
青森県,2024,2,9,2.8999999999999773,1021.6,1018.7,1020.2041666666664,24
青森県,2024,2,10,8.600000000000023,1020.2,1011.6,1016.0791666666668,24
青森県,2024,3,1,14.200000000000044,1016.0,1001.8,1006.6375,24
青森県,2024,3,2,5.899999999999977,1011.9,1006.0,1008.3000000000002,24
青森県,2024,3,3,4.2000000000000455,1013.6,1009.4,1011.9041666666668,24
青森県,2024,3,4,6.800000000000068,1020.7,1013.9,1016.7041666666668,24
青森県,2024,3,5,4.7999999999999545,1022.9,1018.1,1020.8541666666666,24
青森県,2024,3,6,5.100000000000023,1017.5,1012.4,1014.8125,24
青森県,2024,3,7,2.300000000000068,1017.7,1015.4,1016.3416666666668,24
青森県,2024,3,8,7.300000000000068,1015.7,1008.4,1011.2458333333334,24
青森県,2024,3,9,9.100000000000025,1017.6,1008.5,1011.8958333333336,24
青森県,2024,3,10,6.2000000000000455,1024.5,1018.3,1021.9874999999998,24
青森県,2024,4,1,4.400000000000091,1010.7,1006.3,1008.5,24
青森県,2024,4,2,6.599999999999909,1017.8,1011.2,1015.3333333333331,24
青森県,2024,4,3,9.199999999999932,1017.8,1008.6,1013.7083333333334,24
青森県,2024,4,4,10.5,1017.7,1007.2,1010.8916666666664,24
青森県,2024,4,5,4.600000000000023,1022.7,1018.1,1020.2666666666664,24
青森県,2024,4,6,4.399999999999977,1023.1,1018.7,1020.9250000000004,24
青森県,2024,4,7,3.400000000000091,1020.2,1016.8,1018.5416666666666,24
青森県,2024,4,8,4.7000000000000455,1020.2,1015.5,1018.0958333333334,24
青森県,2024,4,9,10.899999999999975,1021.8,1010.9,1014.2791666666668,24
青森県,2024,4,10,7.399999999999977,1029.5,1022.1,1026.1,24
青森県,2024,5,1,9.800000000000068,1015.6,1005.8,1010.4708333333332,24
青森県,2024,5,2,2.5,1018.2,1015.7,1017.2249999999998,24
青森県,2024,5,3,3.899999999999977,1017.3,1013.4,1015.7208333333334,24
青森県,2024,5,4,3.7000000000000455,1020.2,1016.5,1018.6041666666669,24
青森県,2024,5,5,5.600000000000023,1021.4,1015.8,1018.9291666666668,24
青森県,2024,5,6,6.600000000000023,1015.7,1009.1,1012.7791666666666,24
青森県,2024,5,7,6.0,1008.4,1002.4,1005.3333333333336,24
青森県,2024,5,8,8.199999999999932,1014.3,1006.1,1010.025,24
青森県,2024,5,9,2.699999999999932,1015.8,1013.1,1014.7000000000002,24
青森県,2024,5,10,4.899999999999977,1019.4,1014.5,1016.9249999999998,24
青森県,2024,6,1,3.199999999999932,1011.9,1008.7,1010.5125,24
青森県,2024,6,2,2.2999999999999545,1011.4,1009.1,1010.4291666666668,24
青森県,2024,6,3,3.5,1014.3,1010.8,1012.1541666666668,24
青森県,2024,6,4,2.3999999999999773,1016.8,1014.4,1015.3,24
青森県,2024,6,5,4.2999999999999545,1020.8,1016.5,1018.316666666667,24
青森県,2024,6,6,1.7999999999999543,1021.5,1019.7,1020.4916666666668,24
青森県,2024,6,7,3.3999999999999773,1019.9,1016.5,1018.2708333333336,24
青森県,2024,6,8,3.899999999999977,1017.5,1013.6,1015.7583333333332,24
青森県,2024,6,9,3.6000000000000227,1013.7,1010.1,1012.2708333333331,24
青森県,2024,6,10,2.800000000000068,1010.1,1007.3,1008.7874999999998,24
青森県,2024,7,1,17.200000000000045,1006.1,988.9,997.5291666666668,24
青森県,2024,7,2,5.100000000000023,1011.4,1006.3,1008.4666666666668,24
青森県,2024,7,3,7.2000000000000455,1012.1,1004.9,1009.3833333333332,24
青森県,2024,7,4,3.199999999999932,1005.3,1002.1,1003.6875,24
青森県,2024,7,5,4.100000000000023,1005.4,1001.3,1003.7416666666668,24
青森県,2024,7,6,4.0,1005.7,1001.7,1004.5124999999998,24
青森県,2024,7,7,4.300000000000068,1004.6,1000.3,1002.1833333333334,24
青森県,2024,7,8,3.1000000000000227,1003.7,1000.6,1001.8708333333334,24
青森県,2024,7,9,4.2999999999999545,1004.4,1000.1,1002.025,24
青森県,2024,7,10,7.0,1005.6,998.6,1002.9125,24
青森県,2024,8,1,1.7999999999999543,1008.4,1006.6,1007.3125,24
青森県,2024,8,2,1.3999999999999773,1007.5,1006.1,1006.7416666666668,24
青森県,2024,8,3,1.8999999999999773,1008.8,1006.9,1007.6958333333332,24
青森県,2024,8,4,1.7999999999999543,1009.3,1007.5,1008.3583333333332,24
青森県,2024,8,5,1.3999999999999773,1009.5,1008.1,1008.75,24
青森県,2024,8,6,2.200000000000045,1009.2,1007.0,1008.0583333333334,24
青森県,2024,8,7,3.6000000000000227,1007.7,1004.1,1005.8291666666664,24
青森県,2024,8,8,1.5,1005.2,1003.7,1004.3249999999998,24
青森県,2024,8,9,1.1999999999999318,1004.9,1003.7,1004.3458333333332,24
青森県,2024,8,10,1.7000000000000457,1006.0,1004.3,1005.225,24
青森県,2024,9,1,2.099999999999909,1009.3,1007.2,1008.0875,24
青森県,2024,9,2,3.400000000000091,1010.7,1007.3,1008.4791666666666,24
青森県,2024,9,3,3.1000000000000227,1013.7,1010.6,1012.4,24
青森県,2024,9,4,4.0,1014.4,1010.4,1012.3375,24
青森県,2024,9,5,6.399999999999977,1010.8,1004.4,1007.5541666666668,24
青森県,2024,9,6,10.699999999999932,1014.4,1003.7,1010.1875,24
青森県,2024,9,7,2.800000000000068,1015.7,1012.9,1014.375,24
青森県,2024,9,8,2.3999999999999773,1015.8,1013.4,1014.8291666666664,24
青森県,2024,9,9,2.699999999999932,1018.4,1015.7,1017.0833333333331,24
青森県,2024,9,10,3.300000000000068,1017.7,1014.4,1016.0833333333334,24
青森県,2024,10,1,5.600000000000023,1012.6,1007.0,1009.8833333333332,24
青森県,2024,10,2,15.0,1020.4,1005.4,1011.025,24
青森県,2024,10,3,6.5,1025.8,1019.3,1023.0916666666666,24
青森県,2024,10,4,5.800000000000068,1019.2,1013.4,1017.0875,24
青森県,2024,10,5,4.0,1023.9,1019.9,1022.8,24
青森県,2024,10,6,6.7000000000000455,1023.6,1016.9,1020.9791666666669,24
青森県,2024,10,7,4.199999999999932,1016.4,1012.2,1013.5541666666668,24
青森県,2024,10,8,4.800000000000068,1016.7,1011.9,1014.1166666666668,24
青森県,2024,10,9,2.3999999999999773,1018.4,1016.0,1017.025,24
青森県,2024,10,10,3.3999999999999773,1019.6,1016.2,1017.8041666666664,24
青森県,2024,11,1,5.599999999999909,1025.1,1019.5,1022.5833333333331,24
青森県,2024,11,2,6.199999999999932,1019.3,1013.1,1016.0416666666664,24
青森県,2024,11,3,6.0,1022.7,1016.7,1020.3875,24
青森県,2024,11,4,9.899999999999975,1021.1,1011.2,1015.6375000000002,24
青森県,2024,11,5,4.7000000000000455,1021.2,1016.5,1020.0333333333336,24
青森県,2024,11,6,4.199999999999932,1019.8,1015.6,1017.5125000000002,24
青森県,2024,11,7,12.400000000000093,1028.9,1016.5,1023.3374999999996,24
青森県,2024,11,8,3.5,1030.4,1026.9,1028.5958333333333,24
青森県,2024,11,9,3.0,1029.5,1026.5,1028.2916666666667,24
青森県,2024,11,10,8.799999999999955,1028.6,1019.8,1024.4958333333332,24
青森県,2024,12,1,12.700000000000044,1017.1,1004.4,1012.3583333333332,24
青森県,2024,12,2,7.600000000000023,1018.7,1011.1,1016.1374999999996,24
青森県,2024,12,3,6.7000000000000455,1017.2,1010.5,1014.8041666666668,24
青森県,2024,12,4,3.400000000000091,1014.7,1011.3,1013.1,24
青森県,2024,12,5,3.800000000000068,1010.2,1006.4,1007.55,24
青森県,2024,12,6,7.5,1008.8,1001.3,1005.7916666666666,24
青森県,2024,12,7,4.400000000000091,1012.7,1008.3,1010.475,24
青森県,2024,12,8,7.399999999999977,1014.3,1006.9,1009.8333333333336,24
青森県,2024,12,9,1.599999999999909,1015.3,1013.7,1014.5166666666664,24
青森県,2024,12,10,3.6000000000000227,1016.5,1012.9,1014.8458333333334,24
岩手県,2024,1,1,17.5,1026.5,1009.0,1020.7541666666666,24
岩手県,2024,1,2,10.5,1025.3,1014.8,1019.9375,24
岩手県,2024,1,3,4.0,1016.0,1012.0,1014.325,24
岩手県,2024,1,4,10.399999999999975,1021.5,1011.1,1015.7541666666666,24
岩手県,2024,1,5,8.5,1021.6,1013.1,1017.1041666666666,24
岩手県,2024,1,6,3.200000000000045,1014.0,1010.8,1012.3583333333332,24
岩手県,2024,1,7,3.200000000000045,1011.6,1008.4,1010.45,24
岩手県,2024,1,8,9.799999999999956,1020.5,1010.7,1016.1708333333332,24
岩手県,2024,1,9,8.799999999999955,1019.9,1011.1,1014.8000000000002,24
岩手県,2024,1,10,7.5,1019.3,1011.8,1014.55,24
岩手県,2024,2,1,9.600000000000025,1022.1,1012.5,1016.3166666666666,24
岩手県,2024,2,2,2.2999999999999545,1023.8,1021.5,1022.8625,24
岩手県,2024,2,3,4.2000000000000455,1027.7,1023.5,1025.875,24
岩手県,2024,2,4,3.099999999999909,1025.3,1022.2,1023.7125,24
岩手県,2024,2,5,5.7999999999999545,1025.6,1019.8,1022.6166666666664,24
岩手県,2024,2,6,3.300000000000068,1021.2,1017.9,1019.5541666666668,24
岩手県,2024,2,7,5.699999999999932,1019.4,1013.7,1016.5,24
岩手県,2024,2,8,3.6000000000000227,1018.2,1014.6,1016.433333333333,24
岩手県,2024,2,9,2.5,1020.8,1018.3,1019.5041666666666,24
岩手県,2024,2,10,7.899999999999977,1020.1,1012.2,1016.3958333333331,24
岩手県,2024,3,1,15.100000000000025,1016.7,1001.6,1006.4375,24
岩手県,2024,3,2,5.699999999999932,1012.9,1007.2,1009.9458333333332,24
岩手県,2024,3,3,5.100000000000023,1014.7,1009.6,1012.8875000000004,24
岩手県,2024,3,4,7.2000000000000455,1022.0,1014.8,1017.7791666666666,24
岩手県,2024,3,5,5.2999999999999545,1024.0,1018.7,1021.6791666666668,24
岩手県,2024,3,6,9.100000000000025,1018.4,1009.3,1013.35,24
岩手県,2024,3,7,3.200000000000045,1017.6,1014.4,1015.8916666666668,24
岩手県,2024,3,8,9.600000000000025,1016.1,1006.5,1010.4375,24
岩手県,2024,3,9,10.700000000000044,1018.1,1007.4,1010.8208333333332,24
岩手県,2024,3,10,7.2000000000000455,1025.7,1018.5,1022.441666666667,24
岩手県,2024,4,1,4.900000000000091,1011.7,1006.8,1009.2541666666666,24
岩手県,2024,4,2,6.900000000000091,1018.7,1011.8,1016.1625,24
岩手県,2024,4,3,11.399999999999975,1019.3,1007.9,1014.2291666666664,24
岩手県,2024,4,4,12.399999999999975,1018.1,1005.7,1009.4333333333336,24
岩手県,2024,4,5,5.2000000000000455,1023.5,1018.3,1020.4333333333334,24
岩手県,2024,4,6,6.0,1024.3,1018.3,1021.4,24
岩手県,2024,4,7,5.0,1020.4,1015.4,1018.2125,24
岩手県,2024,4,8,5.199999999999932,1021.3,1016.1,1018.5249999999996,24
岩手県,2024,4,9,13.899999999999975,1021.6,1007.7,1012.3041666666664,24
岩手県,2024,4,10,8.700000000000045,1030.7,1022.0,1026.8666666666666,24
岩手県,2024,5,1,11.300000000000068,1015.2,1003.9,1008.675,24
岩手県,2024,5,2,4.0,1018.5,1014.5,1016.7875,24
岩手県,2024,5,3,5.100000000000023,1019.7,1014.6,1017.5625,24
岩手県,2024,5,4,4.199999999999932,1021.3,1017.1,1019.15,24
岩手県,2024,5,5,6.599999999999909,1022.8,1016.2,1019.4083333333332,24
岩手県,2024,5,6,5.899999999999977,1016.9,1011.0,1013.6416666666664,24
岩手県,2024,5,7,6.300000000000068,1010.7,1004.4,1007.0708333333332,24
岩手県,2024,5,8,9.800000000000068,1014.2,1004.4,1009.2166666666666,24
岩手県,2024,5,9,5.099999999999909,1017.8,1012.7,1014.7791666666664,24
岩手県,2024,5,10,4.2999999999999545,1021.8,1017.5,1019.4375,24
岩手県,2024,6,1,4.0,1011.7,1007.7,1009.9499999999998,24
岩手県,2024,6,2,2.199999999999932,1011.8,1009.6,1010.7625,24
岩手県,2024,6,3,3.599999999999909,1012.8,1009.2,1010.7750000000002,24
岩手県,2024,6,4,4.2999999999999545,1016.8,1012.5,1014.0999999999998,24
岩手県,2024,6,5,4.2999999999999545,1020.3,1016.0,1017.6666666666669,24
岩手県,2024,6,6,5.0,1021.6,1016.6,1019.4833333333332,24
岩手県,2024,6,7,3.899999999999977,1019.8,1015.9,1018.25,24
岩手県,2024,6,8,5.0,1018.1,1013.1,1016.45,24
岩手県,2024,6,9,5.100000000000023,1016.0,1010.9,1013.3791666666668,24
岩手県,2024,6,10,3.5,1010.9,1007.4,1009.3125,24
岩手県,2024,7,1,12.599999999999907,1005.8,993.2,998.4875,24
岩手県,2024,7,2,6.399999999999977,1012.6,1006.2,1008.8916666666664,24
岩手県,2024,7,3,7.899999999999977,1014.0,1006.1,1010.875,24
岩手県,2024,7,4,2.8999999999999773,1007.1,1004.2,1005.5166666666668,24
岩手県,2024,7,5,3.0,1007.1,1004.1,1005.6416666666668,24
岩手県,2024,7,6,2.900000000000091,1007.2,1004.3,1006.2291666666666,24
岩手県,2024,7,7,3.899999999999977,1006.4,1002.5,1003.9249999999998,24
岩手県,2024,7,8,2.8999999999999773,1004.9,1002.0,1003.2333333333336,24
岩手県,2024,7,9,4.399999999999977,1004.5,1000.1,1002.6625,24
岩手県,2024,7,10,7.0,1006.1,999.1,1003.6333333333332,24
岩手県,2024,8,1,2.7999999999999545,1008.3,1005.5,1006.7791666666666,24
岩手県,2024,8,2,3.300000000000068,1008.1,1004.8,1006.8833333333332,24
岩手県,2024,8,3,3.1000000000000227,1009.0,1005.9,1007.7833333333334,24
岩手県,2024,8,4,3.300000000000068,1009.1,1005.8,1008.1541666666668,24
岩手県,2024,8,5,3.899999999999977,1009.0,1005.1,1007.7083333333331,24
岩手県,2024,8,6,3.699999999999932,1008.9,1005.2,1007.3916666666668,24
岩手県,2024,8,7,5.199999999999932,1007.3,1002.1,1005.1166666666668,24
岩手県,2024,8,8,2.6000000000000227,1005.4,1002.8,1004.1541666666666,24
岩手県,2024,8,9,3.7999999999999545,1005.3,1001.5,1003.725,24
岩手県,2024,8,10,1.8999999999999773,1004.6,1002.7,1003.6875,24
岩手県,2024,9,1,2.700000000000045,1009.5,1006.8,1007.9874999999998,24
岩手県,2024,9,2,6.5,1012.2,1005.7,1008.4666666666668,24
岩手県,2024,9,3,3.7999999999999545,1014.3,1010.5,1012.5541666666664,24
岩手県,2024,9,4,4.5,1014.5,1010.0,1012.4583333333334,24
岩手県,2024,9,5,5.099999999999909,1011.8,1006.7,1009.0391304347828,23
岩手県,2024,9,6,7.5,1014.2,1006.7,1010.4375,24
岩手県,2024,9,7,3.800000000000068,1015.6,1011.8,1013.9166666666669,24
岩手県,2024,9,8,3.699999999999932,1016.3,1012.6,1014.4291666666668,24
岩手県,2024,9,9,3.6000000000000227,1019.5,1015.9,1017.5,24
岩手県,2024,9,10,4.100000000000023,1019.5,1015.4,1017.8166666666668,24
岩手県,2024,10,1,7.600000000000023,1014.4,1006.8,1010.2291666666666,24
岩手県,2024,10,2,13.100000000000025,1019.7,1006.6,1011.5583333333334,24
岩手県,2024,10,3,4.399999999999977,1024.5,1020.1,1022.3833333333332,24
岩手県,2024,10,4,4.2999999999999545,1020.5,1016.2,1018.9833333333332,24
岩手県,2024,10,5,2.5,1023.5,1021.0,1022.4916666666668,24
岩手県,2024,10,6,6.0,1023.9,1017.9,1021.4583333333334,24
岩手県,2024,10,7,6.0,1017.6,1011.6,1013.6291666666672,24
岩手県,2024,10,8,3.0,1015.8,1012.8,1014.1,24
岩手県,2024,10,9,2.700000000000045,1017.0,1014.3,1015.8166666666668,24
岩手県,2024,10,10,2.700000000000045,1018.5,1015.8,1016.9083333333332,24
岩手県,2024,11,1,6.899999999999977,1027.0,1020.1,1023.4916666666668,24
岩手県,2024,11,2,7.100000000000023,1019.7,1012.6,1015.7583333333332,24
岩手県,2024,11,3,7.600000000000023,1024.0,1016.4,1020.1333333333332,24
岩手県,2024,11,4,10.900000000000093,1023.7,1012.8,1017.8291666666668,24
岩手県,2024,11,5,5.0,1020.6,1015.6,1019.1708333333332,24
岩手県,2024,11,6,3.7000000000000455,1019.5,1015.8,1017.5666666666666,24
岩手県,2024,11,7,11.699999999999932,1028.3,1016.6,1022.8875,24
岩手県,2024,11,8,3.2999999999999545,1031.3,1028.0,1029.2250000000004,24
岩手県,2024,11,9,3.699999999999818,1030.6,1026.9,1028.5999999999997,24
岩手県,2024,11,10,8.899999999999977,1029.8,1020.9,1025.7291666666663,24
岩手県,2024,12,1,12.899999999999975,1018.9,1006.0,1012.854166666667,24
岩手県,2024,12,2,5.0,1020.7,1015.7,1018.3416666666666,24
岩手県,2024,12,3,2.5,1016.0,1013.5,1014.9375,24
岩手県,2024,12,4,3.199999999999932,1013.9,1010.7,1012.2000000000002,24
岩手県,2024,12,5,5.400000000000091,1011.2,1005.8,1008.2833333333334,24
岩手県,2024,12,6,7.0,1009.6,1002.6,1006.95,24
岩手県,2024,12,7,5.899999999999977,1014.9,1009.0,1012.2291666666664,24
